"CORNER, Harry Richard",United Kingdom
"KARLOVA, Larisa",Soviet Union
"COLLETT, E.",United States
"HOLLAND, Stephen",Australia
"HUDEPOHL, Joseph",United States
"PELLEGRINI, Federica",Italy
"KAKLAMANAKIS, Nikolaos",Greece
"SON, Mi-Ha","Korea, South"
"KHOMROVA, Olena",Ukraine
"TRISTANT, Denis",France
"GOELLNER, Marc-Kevin",Germany
"PUDAR, Ivan",Yugoslavia
"ARMSTRONG, Lance E.",United States
"EBERT, Thomas",Denmark
"REED, Pete",United Kingdom
"AGUERO, Sergio",Argentina
"ASAD, Muhammad",Pakistan
"GRÍ_BNER, Wilfried",German Democratic Republic
"MELNIK, Boris",Soviet Union
"MILES, Jearl",United States
"MERCER, Raymond A.",United States
"DU, Li",China
"PATERNOSTER, Fernando",Argentina
"JULIO ROCHA, Jorge Eliecer",Colombia
"NIKIC, Slobodan",Serbia and Montenegro
"BOLL, Timo",Germany
"LI, Ho Pyong","Korea, North"
"YLDEFONSO, Teofilo",Philippines
"KHASYANOVA, Elvira",Russia
"VUKOVIC, Veselin",Yugoslavia
"JOERGENSEN, Rikke Hoerlykke",Denmark
"SKOGLUND, Nils",Sweden
"MAIBOHM, Wolfgang",German Democratic Republic
"SÍ_RENSEN, Aksel",Denmark
"HARTUNG, James N.",United States
"GRAHAM, Lorraine",Jamaica
"PELLING, John Albert",United Kingdom
"ROSENQUIST, Gustaf",Sweden
"JACKSON, Colin",United Kingdom
"DEGTYAREV, Aleksandr",Soviet Union
"OUINBOLD, Dugarsuren",Mongolia
"FÍ HNRICH, Gabriele",German Democratic Republic
"CASANOVA, Georges",France
"MAHONY, Dominic J.M.",United Kingdom
"EHRHARDT, Annelie",German Democratic Republic
"JAMESON, Andrew Dasvid",United Kingdom
"GONZALEZ, Yoanka",Cuba
"RICHTER, Simona Marcela",Romania
"GIBSON, Michelle",United States
"LORD, Torsten",Sweden
"JANSEN, Franciscus Ronaldus Maria",Netherlands
"NIKOLAYEVA, Yelena",Russia
"NIKOLAEV, Valentin",Soviet Union
"BJÍ_NNESS, Lars",Norway
"FAHRNER, Thomas",West Germany
"HOLMQVIST, Knut",Sweden
"HAINES, Robert Bentley Jr.",United States
"HENNIG, Roland",German Democratic Republic
"RODRIGUES, Karin",Brazil
"MEGYERI, Marta",Hungary
"PEARSON, Michelle",Australia
"ROSVALL, Ture",Sweden
"KRASNIQI, Luan",Germany
"KUN, Szilard",Hungary
"ANDERS, Elizabeth Rambo",United States
"DECKER, Andreas",German Democratic Republic
"KOZAKOVA, Olga",Soviet Union
"MOLEA, Walter",Italy
"RILEY, Murray Stewart",Australia
"TKACHENKO, Vladimir",Soviet Union
"TSAPENKO, Yuri",Soviet Union
"SPRING, Rolf",Switzerland
"COLLIGNON, Charles",France
"MORGAN, Anthony William Crawfort",United Kingdom
"KIM, Jo-Sun","Korea, South"
"MISKOVIC, Slobodan",Yugoslavia
"WALLEM, Nordahl E.",Norway
"CHAMPION, Malcolm",Australasia
"SIRCH, Cornelia",German Democratic Republic
"MOELVIG, Stephan",Denmark
"MIURA, Daisuke",Japan
"JENSEN, Christine Boe",Norway
"MAMEDALIEV, Gueidar",Russia
"GABER IBRAHIM, Karam",Egypt
"OBLINGER PETERS, Violetta",Austria
"COLOMER RIBAS, Jose",Spain
"SOPRACORDEVOLE, Gino",Italy
"MUSULBES, David",Slovakia
"KLIMKE, Reiner",West Germany
"GOODISON, Paul",United Kingdom
"DE BARY, Amy Catherine",Switzerland
"REINECK, Thomas",Germany
"ZUDDAS, Gianbattista",Italy
"BARRETO, Diego",Paraguay
"LIM, Sun-Dong","Korea, South"
"PFAFF, GÍ_nther",Austria
"SCARF, Richard Edward",Australia
"LAFKO, Vincent",Czechoslovakia
"SCHADE, Hartmut",German Democratic Republic
"KRMPOTICH, David Mattthew",United States
"BROOKHOUSE, Graham Raymond",United Kingdom
"HEINRICH, Ignace",France
"LEAHY, Cornelius",United Kingdom
"GAYDARBEKOV, Gaydarbek",Russia
"LEE, Taekkeun","Korea, South"
"GRAPENTHIN, Hans-Ulrich",German Democratic Republic
"HUBER, Joseph",France
"MILLEN, John Charles",Canada
"ASPELIN, Simon",Sweden
"LICZNERSKI, Zenon",Poland
